computer,cpu_name,cpu_ghz,gpu,3DMark2000_result,3DMark2000_cpu,3DMark2001,3DMark2003_result,3DMark2003_cpu,3DMark2005_result,3DMark2005_cpu,3DMark2006_mark,3DMark2006_sm2.0,3DMark2006_hdr,3DMark2006_cpu,3DMark_Vantage_mark,3DMark_Vantage_gpu,3DMark_Vantage_cpu,3DMark2011_mark,3DMark2011_graphics,3DMark2011_physics
Thinkpad X40,Pentium M LV,1.2,Intel GM852/GME855,4492,422,2258,114,-,,,,,,,,,,,,
HP mini 110-3100,Atom N455,1.6,GMA3150,3230,282,2597,696,265,297,2001,,,,,,,,,,
mk1 onboard,Athlon64,1.8,NVidia 6150,,,5251,1341,591,673,4191,194,89,-,694,,,,,,
mark 2009,Athlon64 X2,2.6,nVidia 7050,,,,1687,777,741,3692,,,,,,,,,,
Celsius W360,Core2Duo E8300,2.8,Intel Q35,9826,1005,7988,2043,1136,799,7474,283,129,-,2421,,,,,,
Samsung R20,CoreDuo,2,ATI X1250,,,6343,2836,877,1302,5943,508,235,-,1542,,,,,,
Medion E1232T,Bay Trail-M N2807,1.6,Intel HD Graphics,1447,151,4646,2862,226,1739,1515,1105,413,403,852,P280,218,2087,,,
Thinkpad T61,Core2Duo T7300,2,nVidia Quadro NVS140M,16609,811,14465,6376,1310,3621,8650,1525,577,517,1727,,,,,,
mk1 silet,Athlon64,1.8,ATI HD4350,,,13944,7033,818,4677,4112,2053,790,904,702,,,,,,
mk2 silent,PhenomII X4,3.2,ATI HD4350,25679,1252,14562,6756,2174,5234,21283,2412,806,888,4591,,,,,,
EliteBook hp8460p,Core i5 2520M,2.5,Intel HD3000,16265,1050,12123,7824,1772,6095,17372,4132,1329,1689,3594,P1839,1450,9484,,,
mk2 silent2,PhenomII X4,3.2,ATI HD5450,,,,8898,2346,6353,22150,3398,1125,1289,4760,,,,,,
Celsius W360,Core2Duo E8300,2.8,AMD HD6450,29027,1092,,11297,1925,6663,14127,3614,1247,1439,2557,P1824,1489,5602,,,
Thinkpad X230,Core i5 3320M,2.6,Intel HD4000,4318,480,15132,8885,1706,6710,18788,5380,1746,2274,3596,P3073,2490,10347,,,
manuael laptop,Core2Duo P7350,2,nVidia 9600M GT,,,,16260,1417,10393,10404,5040,2162,1969,1774,,,,,,
Testbench Ideacenter,Pentium E6600,3.06,nVidia 9600 GSO,,,,,,,,8052,3753,3625,1873,,,,,,
mk2 gpu 2013,PhenomII X4,3.2,ATI HD5670,1636,195,-,32919,2374,17129,21693,11357,4001,4992,4831,P6203,5404,11146,,,
MacBook Pro 15,i7-4960HQ,2.6,GeForce GT750M,4315,477,39582,30577,326,16656,1313,12732,5001,4887,6138,P9060,7794,17676,P2204,2004,6531
Z600 2018,Xeon X5550,2.7,Nvidia GTX 650,,,,,,23055,22128,17083,6631,7194,6416,P13570,11336,33177,P3113,2830,8632
zBook G3,i7-6820 HQ,2.7,Quadro M1000M,4307,475,62894,61569,353,31804,1136,24977,9937,11437,7296,P18243,16638,25670,P4636,4242,9030
Z600 2020,Xeon X5550,2.7,Nvidia GTX 960,4296,476,40469,84416,201,19189,806,20374,6999,9704,7166,P27224,25653,33350,P9674,10130,8996
Z600 2019,Xeon X5550,2.7,AMD RX470,,,,,,23187,742,20211,6731,9800,7193,,,,,,